ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,noAVI,nonmeditator,meditator,lowmeditator,AVI,IRB,Consent,Issues,Continue,MTurk ID,Sports,Sports length,Meditation,Meditation length,Percussion,Percussion length,Q27,Bonus,Continue,A_enthusiastic,A_sleepy,A_distressed,A_softhearted,A_euphoric,A_dull,A_empathic,A_quiet,A_grieved,A_surprised,A_worried,A_frustrated,A_calm,A_hostile,A_disturbed,A_alarmed,A_peaceful,A_warm,A_lonely,A_compassionate,A_sad,A_happy,A_concerned,A_angry,A_content,A_still,I_enthusiastic,I_sleepy,I_distressed,I_softhearted,I_euphoric,I_dull,I_empathic,I_quiet,I_grieved,I_surprised,I_worried,I_frustrated,I_calm,I_hostile,I_disturbed,I_alarmed,I_peaceful,I_warm,I_lonely,I_compassionate,I_sad,I_happy,I_concerned,I_angry,I_content,I_still,Frequency,How many minutes,Ethnicity,Gender,Age,Region,Debrief,Issues,Continue
,Default Response Set,Anonymous,,,,0,12/1/17 9:17,12/1/17 9:20,1,6700581,No,,,6685375,1,1,,,,0,,0,,0,,,1,1,4,2,1,5,4,1,5,2,1,3,1,2,5,1,1,1,5,5,1,5,1,5,1,1,5,2,5,1,1,5,5,1,5,1,1,4,1,1,5,1,1,1,5,5,1,5,1,5,1,1,5,2,,,1,1,27,4,1,None,1
,Default Response Set,Anonymous,,,,0,12/1/17 9:17,12/1/17 9:20,1,3798215,No,,,2073845,1,1,,,,0,,0,,0,,,1,1,4,3,2,3,3,2,2,3,1,2,4,3,3,2,2,4,2,3,1,5,2,4,3,2,4,3,3,2,2,4,2,2,4,4,1,2,2,2,5,2,2,2,4,4,1,5,2,4,2,2,5,3,,,3,1,34,4,1,No,1
,Default Response Set,Anonymous,,,,0,12/1/17 9:18,12/1/17 9:22,1,6470701,No,,,,1,1,,1,,1,0,0,,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Default Response Set,Anonymous,,,,0,12/1/17 9:31,12/1/17 9:32,1,4954492,,,,,1,1,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Default Response Set,Anonymous,,,,0,12/1/17 9:37,12/1/17 9:37,1,4639076,,,,,1,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Default Response Set,Anonymous,,,,0,12/1/17 9:51,12/1/17 9:54,1,9712632,,1 year or more,,1307381,1,1,,,,0,,1,1,0,,,1,1,3,2,1,2,2,3,4,3,1,2,2,2,4,1,1,1,4,4,1,4,1,3,1,2,3,4,5,1,1,4,5,1,5,3,1,2,1,1,3,1,1,1,5,5,1,5,1,5,1,1,5,1,3,6,7,1,28,3,1,,1
,Default Response Set,Anonymous,,,,0,12/1/17 10:24,12/1/17 10:25,1,2466989,,,less than 1 year,,1,1,,1,,0,,1,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Default Response Set,Anonymous,,,,0,12/1/17 11:10,12/1/17 11:11,1,1592142,,,,,1,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Default Response Set,Anonymous,,,,0,12/1/17 20:54,12/1/17 21:00,1,6232018,,1 year or more,,1165511,1,1,,,,1,1,1,1,0,,,1,1,2,3,2,2,2,3,2,3,2,2,3,3,3,2,1,2,3,2,4,3,2,3,3,2,3,2,4,2,1,4,4,1,4,3,1,2,1,1,5,1,1,1,5,5,1,5,1,5,2,1,5,3,3,4,1,1,32,1,1,No,1
,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,5,3,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,5,3,4,2,2,4,3,4,2,4,2,4,5,4,3,4,4,1,2,3,4,4,3,3,4,5,,,,,30,,,,
,,,,,,,,,,,,1 year or more,,,,,,,,,,,,,,,,,2,3,4,2,2,2,3,4,2,2,4,2,3,2,3,2,2,2,2,2,2,2,3,1,2,2,3,1,1,4,3,1,5,4,1,3,1,1,5,1,1,1,5,5,1,4,1,4,1,1,5,4,,,,,30,,,,
,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,3,3,2,3,2,2,3,2,3,2,2,2,4,2,2,2,4,4,4,3,2,4,2,3,3,2,4,1,1,4,3,1,4,2,1,1,1,1,4,1,1,1,3,3,1,4,1,5,2,1,5,5,,,,,24,,,,
,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,4,5,3,4,4,1,4,3,2,3,3,4,3,2,2,2,4,4,5,3,2,2,3,2,4,2,5,1,1,4,5,1,4,2,1,1,1,1,3,1,1,1,4,5,1,4,1,5,1,1,4,2,,,,,25,,,,
,,,,,,,,,,,,1 year or more,,,,,,,,,,,,,,,,,3,3,2,4,3,1,4,4,2,3,3,3,4,2,2,2,4,4,2,5,2,3,2,2,4,5,2,1,1,5,3,1,5,5,1,2,1,2,5,1,1,1,5,5,1,5,1,3,1,1,5,5,,,,,57,,,,